from	to
ENSG00000163930	ENSG00000105298
ENSG00000163930	ENSG00000105323
ENSG00000163930	ENSG00000105341
ENSG00000163930	ENSG00000105364
ENSG00000163930	ENSG00000105372
ENSG00000163930	ENSG00000105373
ENSG00000163930	ENSG00000105397
ENSG00000163930	ENSG00000105404
ENSG00000163930	ENSG00000105438
ENSG00000163930	ENSG00000105443
ENSG00000163930	ENSG00000105447
ENSG00000163930	ENSG00000105479
ENSG00000163930	ENSG00000105483
ENSG00000163930	ENSG00000105516
ENSG00000163930	ENSG00000105518
ENSG00000163930	ENSG00000105538
ENSG00000163930	ENSG00000105552
ENSG00000163930	ENSG00000105576
ENSG00000163930	ENSG00000105649
ENSG00000163930	ENSG00000105655
ENSG00000163930	ENSG00000105662
ENSG00000163930	ENSG00000105672
ENSG00000163930	ENSG00000105677
ENSG00000163930	ENSG00000105699
ENSG00000163930	ENSG00000105700
ENSG00000163930	ENSG00000105705
ENSG00000163930	ENSG00000105726
ENSG00000163930	ENSG00000105738
ENSG00000163930	ENSG00000105750
ENSG00000163930	ENSG00000105793
ENSG00000163930	ENSG00000105819
ENSG00000163930	ENSG00000105821
ENSG00000163930	ENSG00000105856
ENSG00000163930	ENSG00000105865
ENSG00000163930	ENSG00000105879
ENSG00000163930	ENSG00000105887
ENSG00000163930	ENSG00000105948
ENSG00000163930	ENSG00000105983
ENSG00000163930	ENSG00000105993
ENSG00000163930	ENSG00000106028
ENSG00000163930	ENSG00000106049
ENSG00000163930	ENSG00000106105
ENSG00000163930	ENSG00000106244
ENSG00000163930	ENSG00000106245
ENSG00000163930	ENSG00000106246
ENSG00000163930	ENSG00000106261
ENSG00000163930	ENSG00000106263
ENSG00000163930	ENSG00000106299
ENSG00000163930	ENSG00000106330
ENSG00000163930	ENSG00000106344
ENSG00000163930	ENSG00000106346
ENSG00000163930	ENSG00000106355
ENSG00000163930	ENSG00000106399
ENSG00000163930	ENSG00000106459
ENSG00000163930	ENSG00000106554
ENSG00000163930	ENSG00000106603
ENSG00000163930	ENSG00000106636
ENSG00000163930	ENSG00000106771
ENSG00000163930	ENSG00000106803
ENSG00000163930	ENSG00000106976
ENSG00000163930	ENSG00000106993
ENSG00000163930	ENSG00000107021
ENSG00000163930	ENSG00000107164
ENSG00000163930	ENSG00000107175
ENSG00000163930	ENSG00000107185
ENSG00000163930	ENSG00000107249
ENSG00000163930	ENSG00000107290
ENSG00000163930	ENSG00000107371
ENSG00000163930	ENSG00000107443
ENSG00000163930	ENSG00000107560
ENSG00000163930	ENSG00000107614
ENSG00000163930	ENSG00000107651
ENSG00000163930	ENSG00000107669
ENSG00000163930	ENSG00000107679
ENSG00000163930	ENSG00000107815
ENSG00000163930	ENSG00000107874
ENSG00000163930	ENSG00000107897
ENSG00000163930	ENSG00000107938
ENSG00000163930	ENSG00000107949
ENSG00000163930	ENSG00000108175
ENSG00000163930	ENSG00000108239
ENSG00000163930	ENSG00000108298
ENSG00000163930	ENSG00000108306
ENSG00000163930	ENSG00000108344
ENSG00000163930	ENSG00000108370
ENSG00000163930	ENSG00000108406
ENSG00000163930	ENSG00000108433
ENSG00000163930	ENSG00000108468
ENSG00000163930	ENSG00000108469
ENSG00000163930	ENSG00000108474
ENSG00000163930	ENSG00000108523
ENSG00000163930	ENSG00000108528
ENSG00000163930	ENSG00000108557
ENSG00000163930	ENSG00000108561
ENSG00000163930	ENSG00000108587
ENSG00000163930	ENSG00000108588
ENSG00000163930	ENSG00000108590
ENSG00000163930	ENSG00000108591
ENSG00000163930	ENSG00000108599
ENSG00000163930	ENSG00000108604
ENSG00000163930	ENSG00000108639
ENSG00000163930	ENSG00000108651
ENSG00000163930	ENSG00000108654
ENSG00000163930	ENSG00000108666
ENSG00000163930	ENSG00000108671
ENSG00000163930	ENSG00000108733
ENSG00000163930	ENSG00000108774
ENSG00000163930	ENSG00000108799
ENSG00000163930	ENSG00000108826
ENSG00000163930	ENSG00000108829
ENSG00000163930	ENSG00000108848
ENSG00000163930	ENSG00000108883
ENSG00000163930	ENSG00000108963
ENSG00000163930	ENSG00000109079
ENSG00000163930	ENSG00000109083
ENSG00000163930	ENSG00000109113
ENSG00000163930	ENSG00000109118
ENSG00000163930	ENSG00000109133
ENSG00000163930	ENSG00000109180
ENSG00000163930	ENSG00000109270
ENSG00000163930	ENSG00000109381
ENSG00000163930	ENSG00000109390
ENSG00000163930	ENSG00000109475
ENSG00000163930	ENSG00000109534
ENSG00000163930	ENSG00000109536
ENSG00000163930	ENSG00000109576
ENSG00000163930	ENSG00000109618
ENSG00000163930	ENSG00000109680
ENSG00000163930	ENSG00000109756
ENSG00000163930	ENSG00000109775
ENSG00000163930	ENSG00000109805
ENSG00000163930	ENSG00000109881
