com_id	pg_gene	chr	order	size
436	ENSG00000185189	12	2	1
574	ENSG00000185246	14	2	1
435	ENSG00000185261	5	2	1
434	ENSG00000185697	8	2	1
666	ENSG00000185829	17	2	1
433	ENSG00000185885	11	2	1
665	ENSG00000186193	9	2	1
664	ENSG00000186523	8	2	1
432	ENSG00000186567	19	2	1
874	ENSG00000186635	11	2	1
663	ENSG00000186710	12	2	1
662	ENSG00000187037	7	2	1
431	ENSG00000187123	2	2	1
430	ENSG00000187260	7	2	1
661	ENSG00000187498	13	2	1
429	ENSG00000187630	14	2	1
428	ENSG00000187642	1	2	1
427	ENSG00000187650	19	2	1
879	ENSG00000187860	22	2	1
426	ENSG00000188095	15	2	1
425	ENSG00000188130	22	2	1
424	ENSG00000188368	19	2	1
591	ENSG00000188549	15	2	1
659	ENSG00000188747	9	2	1
658	ENSG00000188766	19	2	1
657	ENSG00000188938	9	2	1
656	ENSG00000188993	4	2	1
423	ENSG00000188996	6	2	1
422	ENSG00000189180	10	2	1
655	ENSG00000189195	1	2	1
654	ENSG00000189334	1	2	1
421	ENSG00000189362	2	2	1
420	ENSG00000196123	16	2	1
653	ENSG00000196154	1	2	1
419	ENSG00000196275	7	2	1
652	ENSG00000196345	3	2	1
418	ENSG00000196371	11	2	1
651	ENSG00000196391	15	2	1
650	ENSG00000196547	15	2	1
614	ENSG00000196642	9	2	1
445	ENSG00000196705	19	2	1
649	ENSG00000196776	3	2	1
859	ENSG00000196865	10	2	1
417	ENSG00000196890	1	2	1
647	ENSG00000197016	19	2	1
416	ENSG00000197019	19	2	1
646	ENSG00000197122	20	2	1
645	ENSG00000197372	19	2	1
644	ENSG00000197375	5	2	1
643	ENSG00000197557	2	2	1
642	ENSG00000197558	7	2	1
415	ENSG00000197969	9	2	1
414	ENSG00000198019	1	2	1
413	ENSG00000198046	19	2	1
641	ENSG00000198142	2	2	1
412	ENSG00000198157	X	2	1
411	ENSG00000198440	19	2	1
640	ENSG00000198498	4	2	1
410	ENSG00000198515	4	2	1
409	ENSG00000198542	13	2	1
638	ENSG00000198721	6	2	1
637	ENSG00000198722	9	2	1
636	ENSG00000198855	12	2	1
635	ENSG00000198908	X	2	1
634	ENSG00000198911	19	2	1
633	ENSG00000198919	3	2	1
632	ENSG00000203722	6	2	1
408	ENSG00000203772	10	2	1
631	ENSG00000203965	1	2	1
630	ENSG00000204271	X	2	1
857	ENSG00000204304	6	2	1
407	ENSG00000204335	2	2	1
406	ENSG00000204389	6	2	1
405	ENSG00000204397	11	2	1
629	ENSG00000204472	6	2	1
404	ENSG00000204611	19	2	1
628	ENSG00000204682	10	2	1
627	ENSG00000204740	10	2	1
626	ENSG00000204822	2	2	1
624	ENSG00000205213	11	2	1
623	ENSG00000205413	7	2	1
622	ENSG00000205517	19	2	1
403	ENSG00000205629	16	2	1
402	ENSG00000205730	16	2	1
621	ENSG00000205832	16	2	1
620	ENSG00000205978	14	2	1
619	ENSG00000206077	5	2	1
618	ENSG00000206418	14	2	1
