ensembl_id	id	type
ENSG00000231613	17	del
ENSG00000230735	17	del
ENSG00000171488	17	del
ENSG00000226394	17	del
ENSG00000231999	17	del
ENSG00000271949	17	del
ENSG00000171492	17	del
ENSG00000197147	17	del
ENSG00000248458	17	del
ENSG00000118473	17	del
ENSG00000117305	2	del
ENSG00000272672	17	del
ENSG00000228175	17	del
ENSG00000162664	17	del
ENSG00000152760	17	del
ENSG00000172410	17	del
ENSG00000229201	17	del
ENSG00000231080	17	del
ENSG00000152763	17	del
ENSG00000143032	17	del
ENSG00000179546	2	del
ENSG00000215381	2	del
ENSG00000285532	17	del
ENSG00000233593	17	del
ENSG00000261326	2	del
ENSG00000225446	17	del
ENSG00000272094	17	del
ENSG00000232882	17	del
ENSG00000122482	17	del
ENSG00000179163	2	del
ENSG00000232557	2	del
ENSG00000229106	2	del
ENSG00000188822	2	del
ENSG00000232393	17	del
ENSG00000230228	2	del
ENSG00000189266	2	del
ENSG00000284726	2	del
ENSG00000162669	17	del
ENSG00000215873	17	del
ENSG00000198160	17	del
ENSG00000188529	2	del
ENSG00000215905	2	del
ENSG00000230703	2	del
ENSG00000225315	2	del
ENSG00000142661	2	del
ENSG00000125944	2	del
ENSG00000233333	17	del
ENSG00000227556	17	del
ENSG00000122420	17	del
ENSG00000237413	17	del
ENSG00000137959	17	del
ENSG00000142677	2	del
ENSG00000116704	17	del
ENSG00000185436	2	del
ENSG00000203963	17	del
ENSG00000275678	17	del
ENSG00000162594	17	del
ENSG00000230023	2	del
ENSG00000228523	17	del
ENSG00000249087	2	del
ENSG00000081985	17	del
ENSG00000125945	2	del
ENSG00000001461	2	del
ENSG00000158055	2	del
ENSG00000097046	17	del
ENSG00000137965	17	del
ENSG00000001460	2	del
ENSG00000241318	17	del
ENSG00000229067	17	del
ENSG00000203914	17	del
ENSG00000232298	2	del
ENSG00000238015	17	del
ENSG00000235400	17	del
ENSG00000162618	17	del
ENSG00000230787	17	del
ENSG00000235011	17	del
ENSG00000282898	17	del
ENSG00000285462	17	del
ENSG00000232676	17	del
ENSG00000285409	17	del
ENSG00000235756	17	del
ENSG00000260322	17	del
ENSG00000277670	17	del
ENSG00000236407	17	del
ENSG00000271420	2	del
ENSG00000204219	2	del
ENSG00000232482	2	del
ENSG00000225598	17	del
ENSG00000213559	17	del
ENSG00000227062	17	del
