ensemblID	community
ENSG00000102978	66
ENSG00000102981	7
ENSG00000103005	66
ENSG00000103018	7
ENSG00000103024	41
ENSG00000103035	7
ENSG00000103037	66
ENSG00000103051	7
ENSG00000103091	7
ENSG00000103111	7
ENSG00000103126	13
ENSG00000103168	7
ENSG00000103194	7
ENSG00000103199	13
ENSG00000103245	13
ENSG00000103254	41
ENSG00000103266	13
ENSG00000103275	13
ENSG00000103326	13
ENSG00000103343	13
ENSG00000103356	110
ENSG00000103415	13
ENSG00000103423	13
ENSG00000103429	13
ENSG00000103494	270
ENSG00000103496	38
ENSG00000103502	38
ENSG00000103507	38
ENSG00000103510	38
ENSG00000103549	38
ENSG00000103550	110
ENSG00000103591	16
ENSG00000103599	16
ENSG00000103671	16
ENSG00000103769	16
ENSG00000103876	652
ENSG00000103932	12
ENSG00000103978	12
ENSG00000103994	12
ENSG00000104047	859
ENSG00000104067	12
ENSG00000104131	12
ENSG00000104133	12
ENSG00000104142	12
ENSG00000104147	9
ENSG00000104164	12
ENSG00000104218	67
ENSG00000104221	78
ENSG00000104228	8
ENSG00000104290	8
ENSG00000104299	8
ENSG00000104343	187
ENSG00000104365	85
ENSG00000104388	67
ENSG00000104442	67
ENSG00000104472	19
ENSG00000104524	19
ENSG00000104529	19
ENSG00000104611	8
ENSG00000104613	8
ENSG00000104626	8
ENSG00000104635	8
ENSG00000104643	8
ENSG00000104660	8
ENSG00000104671	8
ENSG00000104679	8
ENSG00000104689	8
ENSG00000104691	8
ENSG00000104695	8
ENSG00000104714	8
ENSG00000104731	7
ENSG00000104756	8
ENSG00000104763	8
ENSG00000104765	8
ENSG00000104825	92
ENSG00000104853	140
ENSG00000104856	290
ENSG00000104885	21
ENSG00000104886	21
ENSG00000104897	21
ENSG00000104901	860
ENSG00000104946	44
ENSG00000104953	402
ENSG00000104960	44
ENSG00000104964	21
ENSG00000104969	21
ENSG00000104973	44
ENSG00000105053	44
ENSG00000105063	44
ENSG00000105136	59
ENSG00000105176	225
ENSG00000105197	92
ENSG00000105202	10
ENSG00000105229	21
ENSG00000105248	116
ENSG00000105258	76
ENSG00000105298	21
ENSG00000105325	21
ENSG00000105341	517
ENSG00000105372	10
ENSG00000105373	10
ENSG00000105374	120
ENSG00000105401	71
ENSG00000105402	210
ENSG00000105438	140
ENSG00000105447	381
ENSG00000105483	140
ENSG00000105492	96
ENSG00000105516	175
ENSG00000105520	312
ENSG00000105556	21
ENSG00000105583	71
ENSG00000105618	44
ENSG00000105640	10
ENSG00000105662	345
ENSG00000105669	296
ENSG00000105671	296
ENSG00000105677	76
ENSG00000105700	10
ENSG00000105723	210
ENSG00000105778	45
ENSG00000105793	6
ENSG00000105819	6
ENSG00000105821	6
ENSG00000105829	6
ENSG00000105856	6
ENSG00000105865	6
ENSG00000105879	6
ENSG00000105953	45
ENSG00000105968	45
ENSG00000105974	653
ENSG00000105983	80
ENSG00000105993	275
ENSG00000105996	173
ENSG00000105997	173
ENSG00000106004	173
ENSG00000106006	173
ENSG00000106009	31
ENSG00000106012	34
ENSG00000106025	654
ENSG00000106028	60
ENSG00000106052	655
ENSG00000106086	298
ENSG00000106105	45
ENSG00000106144	60
ENSG00000106244	6
ENSG00000106245	6
ENSG00000106246	6
