ensemblID	community
ENSG00000111725	153
ENSG00000111790	155
ENSG00000111837	154
ENSG00000111845	154
ENSG00000111859	154
ENSG00000111863	70
ENSG00000111875	154
ENSG00000111885	4
ENSG00000112031	155
ENSG00000112039	13
ENSG00000112062	54
ENSG00000112078	15
ENSG00000112081	154
ENSG00000112175	70
ENSG00000112186	15
ENSG00000112237	13
ENSG00000112242	85
ENSG00000112294	4
ENSG00000112297	70
ENSG00000112367	155
ENSG00000112378	4
ENSG00000112379	4
ENSG00000112425	15
ENSG00000112473	10
ENSG00000112511	14
ENSG00000112531	15
ENSG00000112578	154
ENSG00000112584	154
ENSG00000112640	4
ENSG00000112651	223
ENSG00000112658	154
ENSG00000112695	77
ENSG00000112769	15
ENSG00000112855	195
ENSG00000112877	55
ENSG00000112972	13
ENSG00000112984	117
ENSG00000112992	77
ENSG00000113048	77
ENSG00000113070	322
ENSG00000113140	15
ENSG00000113141	10
ENSG00000113161	13
ENSG00000113240	195
ENSG00000113282	13
ENSG00000113300	154
ENSG00000113328	223
ENSG00000113368	117
ENSG00000113384	13
ENSG00000113407	13
ENSG00000113494	4
ENSG00000113575	154
ENSG00000113578	4
ENSG00000113580	154
ENSG00000113594	153
ENSG00000113597	15
ENSG00000113615	23
ENSG00000113645	4
ENSG00000113649	341
ENSG00000113657	70
ENSG00000113658	14
ENSG00000113712	231
ENSG00000113758	13
ENSG00000113790	77
ENSG00000113845	111
ENSG00000114021	25
ENSG00000114030	15
ENSG00000114054	77
ENSG00000114126	10
ENSG00000114209	154
ENSG00000114268	4
ENSG00000114315	153
ENSG00000114346	4
ENSG00000114388	195
ENSG00000114391	56
ENSG00000114416	77
ENSG00000114446	15
ENSG00000114450	14
ENSG00000114480	77
ENSG00000114547	4
ENSG00000114554	195
ENSG00000114626	15
ENSG00000114739	154
ENSG00000114745	101
ENSG00000114767	111
ENSG00000114779	77
ENSG00000114796	77
ENSG00000114933	154
ENSG00000115020	77
ENSG00000115053	10
ENSG00000115091	8
ENSG00000115204	57
ENSG00000115207	195
ENSG00000115221	4
ENSG00000115233	155
ENSG00000115255	4
ENSG00000115267	4
ENSG00000115271	4
ENSG00000115286	77
ENSG00000115289	154
ENSG00000115325	15
ENSG00000115353	341
ENSG00000115414	13
ENSG00000115421	155
ENSG00000115425	77
ENSG00000115459	15
ENSG00000115504	15
ENSG00000115520	154
ENSG00000115523	251
ENSG00000115524	155
ENSG00000115539	231
ENSG00000115548	195
ENSG00000115594	155
ENSG00000115648	111
ENSG00000115649	154
ENSG00000115657	58
ENSG00000115694	111
ENSG00000115705	59
ENSG00000115760	155
ENSG00000115816	60
ENSG00000115840	10
ENSG00000115875	154
ENSG00000115902	111
ENSG00000115904	15
ENSG00000115946	154
ENSG00000116005	77
ENSG00000116030	154
ENSG00000116095	61
ENSG00000116120	62
ENSG00000116171	77
ENSG00000116221	77
ENSG00000116237	15
ENSG00000116273	154
ENSG00000116285	153
ENSG00000116288	10
ENSG00000116299	4
ENSG00000116353	15
ENSG00000116459	77
ENSG00000116478	223
ENSG00000116514	154
ENSG00000116560	154
ENSG00000116574	153
ENSG00000116584	13
ENSG00000116641	15
ENSG00000116667	231
ENSG00000116688	15
ENSG00000116717	153
ENSG00000116752	154
ENSG00000116754	6
ENSG00000116761	77
ENSG00000116774	13
ENSG00000116785	63
ENSG00000116824	223
ENSG00000116863	195
ENSG00000116871	15
ENSG00000116898	77
ENSG00000116954	77
ENSG00000116962	13
ENSG00000116984	13
ENSG00000117000	154
ENSG00000117013	111
ENSG00000117016	241
ENSG00000117054	77
ENSG00000117091	223
ENSG00000117118	77
ENSG00000117122	13
ENSG00000117133	10
ENSG00000117139	15
ENSG00000117228	154
ENSG00000117305	77
ENSG00000117362	4
ENSG00000117394	4
ENSG00000117399	117
ENSG00000117410	70
ENSG00000117411	15
ENSG00000117419	10
ENSG00000117448	13
ENSG00000117450	111
ENSG00000117472	64
ENSG00000117479	153
ENSG00000117500	77
ENSG00000117525	153
ENSG00000117560	153
ENSG00000117592	77
ENSG00000117595	4
ENSG00000117597	111
ENSG00000117614	154
ENSG00000117616	195
ENSG00000117625	77
ENSG00000117640	77
ENSG00000117643	13
ENSG00000117650	117
ENSG00000117676	70
ENSG00000117682	15
ENSG00000117707	23
ENSG00000117724	117
ENSG00000117751	322
ENSG00000117859	154
ENSG00000117899	10
ENSG00000117984	70
ENSG00000118007	117
ENSG00000118046	10
ENSG00000118058	155
ENSG00000118156	15
ENSG00000118181	10
ENSG00000118246	154
ENSG00000118263	101
ENSG00000118503	153
ENSG00000118507	23
ENSG00000118508	154
ENSG00000118513	4
ENSG00000118515	153
ENSG00000118523	154
ENSG00000118564	77
ENSG00000118596	77
ENSG00000118640	70
ENSG00000118689	153
ENSG00000118762	70
ENSG00000118804	77
ENSG00000118855	4
ENSG00000118922	155
ENSG00000118939	111
ENSG00000118965	13
ENSG00000119004	155
ENSG00000119013	77
ENSG00000119041	101
ENSG00000119042	77
ENSG00000119121	341
ENSG00000119138	153
ENSG00000119147	4
ENSG00000119185	15
ENSG00000119203	15
ENSG00000119227	15
ENSG00000119242	77
ENSG00000119280	15
ENSG00000119314	4
ENSG00000119318	85
ENSG00000119333	111
ENSG00000119408	155
ENSG00000119414	15
ENSG00000119421	77
ENSG00000119471	77
ENSG00000119487	65
ENSG00000119509	155
ENSG00000119514	13
ENSG00000119636	45
ENSG00000119638	15
ENSG00000119673	77
ENSG00000119681	13
ENSG00000119684	195
ENSG00000119685	117
ENSG00000119688	341
ENSG00000119689	77
ENSG00000119703	154
ENSG00000119711	77
ENSG00000119723	77
ENSG00000119729	15
ENSG00000119778	195
ENSG00000119812	15
ENSG00000119820	155
ENSG00000119844	101
ENSG00000119866	111
ENSG00000119888	4
ENSG00000119899	70
ENSG00000119906	154
ENSG00000119912	15
ENSG00000119922	154
ENSG00000119929	15
ENSG00000119965	66
ENSG00000119986	15
ENSG00000120063	13
ENSG00000120075	13
ENSG00000120093	13
ENSG00000120129	322
ENSG00000120137	101
ENSG00000120162	13
ENSG00000120278	341
ENSG00000120279	341
