ID	commun	community_type
GO:0003433	316	Inter
GO:0071417	316	Inter
GO:0071295	316	Inter
GO:0060536	316	Inter
GO:0051607	197	Inter
GO:0009615	197	Inter
GO:0060337	197	Inter
GO:0071357	197	Inter
GO:0098542	197	Inter
GO:0034340	197	Inter
GO:0045071	197	Inter
GO:1903901	197	Inter
GO:0043900	197	Inter
GO:0048525	197	Inter
GO:0045069	197	Inter
GO:0019079	197	Inter
GO:1903900	197	Inter
GO:0043901	197	Inter
GO:0050792	197	Inter
GO:0043903	197	Inter
GO:0035455	197	Inter
GO:0032069	197	Inter
GO:0060333	197	Inter
GO:0019058	197	Inter
GO:0032480	197	Inter
GO:0032479	197	Inter
GO:0032606	197	Inter
GO:0071346	197	Inter
GO:0034341	197	Inter
GO:0039528	197	Inter
GO:0001819	197	Inter
GO:0044764	197	Inter
GO:0098586	197	Inter
GO:0060760	197	Inter
GO:0045089	197	Inter
GO:0002753	197	Inter
GO:0090148	197	Inter
GO:0002221	197	Inter
GO:0035457	197	Inter
GO:0050688	197	Inter
GO:0032481	197	Inter
GO:0045088	197	Inter
GO:0071360	197	Inter
GO:1904469	197	Inter
GO:0009617	197	Inter
GO:0039529	197	Inter
GO:0031349	197	Inter
GO:0001818	197	Inter
GO:0032727	197	Inter
GO:0071359	197	Inter
GO:2000778	197	Inter
GO:0002758	197	Inter
GO:1904467	197	Inter
GO:0032647	197	Inter
GO:0032607	197	Inter
GO:1990774	197	Inter
GO:0002218	197	Inter
GO:0050852	121	Intra
GO:0050851	121	Intra
GO:0002479	121	Intra
GO:0042590	121	Intra
GO:0002474	121	Intra
GO:0002429	121	Intra
GO:0002250	121	Intra
GO:0002768	121	Intra
GO:0002478	121	Intra
GO:0002757	121	Intra
GO:0019884	121	Intra
GO:0048002	121	Intra
GO:0002764	121	Intra
GO:0002253	121	Intra
GO:0019882	121	Intra
GO:0002483	121	Intra
GO:0019885	121	Intra
GO:0072643	121	Intra
GO:0019883	121	Intra
GO:0010499	121	Intra
GO:0006521	121	Intra
GO:1902036	121	Intra
GO:0033238	121	Intra
GO:0061418	121	Intra
GO:0060218	121	Intra
GO:0031145	121	Intra
GO:1901532	121	Intra
GO:0010972	121	Intra
GO:0032609	121	Intra
GO:0002456	121	Intra
GO:0006906	121	Intra
GO:0031146	121	Intra
GO:0070498	121	Intra
GO:0002223	121	Intra
GO:0090174	121	Intra
GO:0002220	121	Intra
GO:1902750	121	Intra
GO:2000736	121	Intra
GO:0044106	121	Intra
GO:0060071	121	Intra
GO:0038095	121	Intra
GO:0090175	121	Intra
GO:0009308	121	Intra
GO:0043618	121	Intra
GO:0043620	121	Intra
GO:0048284	121	Intra
GO:0001736	121	Intra
GO:0007164	121	Intra
GO:0007156	210	Intra
GO:0098742	210	Intra
GO:0016339	210	Intra
GO:0007416	210	Intra
GO:0050808	210	Intra
GO:0007268	210	Intra
GO:0098916	210	Intra
GO:0099537	210	Intra
GO:0099536	210	Intra
GO:1903405	232	Intra
GO:1904851	232	Intra
GO:1904867	232	Intra
GO:0070203	232	Intra
GO:0070202	232	Intra
GO:1904816	232	Intra
GO:1990173	232	Intra
GO:1904814	232	Intra
GO:0070200	232	Intra
GO:1904874	232	Intra
GO:1904872	232	Intra
GO:0090670	232	Intra
GO:0090671	232	Intra
GO:0090672	232	Intra
GO:0090685	232	Intra
GO:0007339	232	Intra
