ensemblID	community
ENSG00000106290	142
ENSG00000106330	142
ENSG00000106344	142
ENSG00000106346	140
ENSG00000106351	142
ENSG00000106355	140
ENSG00000106367	142
ENSG00000106399	140
ENSG00000106400	142
ENSG00000106460	140
ENSG00000106477	142
ENSG00000106479	142
ENSG00000106565	189
ENSG00000106588	140
ENSG00000106591	140
ENSG00000106605	190
ENSG00000106608	140
ENSG00000106615	142
ENSG00000106617	142
ENSG00000106628	140
ENSG00000106635	142
ENSG00000106636	140
ENSG00000106682	142
ENSG00000106803	296
ENSG00000106993	106
ENSG00000107036	106
ENSG00000107140	106
ENSG00000107185	141
ENSG00000107223	296
ENSG00000107262	192
ENSG00000107341	106
ENSG00000107566	653
ENSG00000107651	653
ENSG00000107669	653
ENSG00000107672	653
ENSG00000107815	653
ENSG00000107816	653
ENSG00000107819	653
ENSG00000107829	653
ENSG00000107862	653
ENSG00000107872	117
ENSG00000107874	653
ENSG00000107882	653
ENSG00000107897	53
ENSG00000107929	53
ENSG00000107937	53
ENSG00000107949	92
ENSG00000107951	53
ENSG00000107959	53
ENSG00000107960	653
ENSG00000108010	653
ENSG00000108055	653
ENSG00000108094	53
ENSG00000108100	53
ENSG00000108106	117
ENSG00000108107	146
ENSG00000108256	123
ENSG00000108262	123
ENSG00000108298	146
ENSG00000108306	146
ENSG00000108344	146
ENSG00000108349	146
ENSG00000108389	194
ENSG00000108395	194
ENSG00000108406	194
ENSG00000108423	194
ENSG00000108439	58
ENSG00000108443	194
ENSG00000108465	194
ENSG00000108468	194
ENSG00000108474	120
ENSG00000108506	194
ENSG00000108509	120
ENSG00000108510	194
ENSG00000108518	120
ENSG00000108523	120
ENSG00000108528	120
ENSG00000108557	120
ENSG00000108559	120
ENSG00000108561	120
ENSG00000108587	123
ENSG00000108588	194
ENSG00000108590	120
ENSG00000108591	120
ENSG00000108592	194
ENSG00000108599	120
ENSG00000108604	194
ENSG00000108641	120
ENSG00000108651	546
ENSG00000108666	546
ENSG00000108671	546
ENSG00000108733	546
ENSG00000108774	546
ENSG00000108788	546
ENSG00000108819	194
ENSG00000108821	316
ENSG00000108826	194
ENSG00000108829	194
ENSG00000108848	194
ENSG00000108883	546
ENSG00000108953	120
ENSG00000108961	120
ENSG00000108963	120
ENSG00000109016	120
ENSG00000109066	77
ENSG00000109079	123
ENSG00000109083	123
ENSG00000109103	123
ENSG00000109111	123
ENSG00000109118	123
ENSG00000109133	83
ENSG00000109180	83
ENSG00000109475	146
ENSG00000109519	83
ENSG00000109674	158
ENSG00000109685	83
ENSG00000109736	83
ENSG00000109805	158
ENSG00000109917	90
ENSG00000109919	74
ENSG00000110011	348
ENSG00000110013	90
ENSG00000110046	348
ENSG00000110057	126
ENSG00000110060	90
ENSG00000110066	126
ENSG00000110075	126
ENSG00000110080	90
ENSG00000110107	348
ENSG00000110108	348
ENSG00000110172	5
ENSG00000110218	5
ENSG00000110237	76
ENSG00000110274	90
ENSG00000110330	90
ENSG00000110344	90
ENSG00000110367	90
ENSG00000110395	90
ENSG00000110422	74
ENSG00000110429	74
ENSG00000110435	74
ENSG00000110442	74
ENSG00000110448	183
ENSG00000110497	74
ENSG00000110536	74
ENSG00000110583	348
ENSG00000110619	74
ENSG00000110696	74
ENSG00000110700	74
ENSG00000110711	126
ENSG00000110713	74
ENSG00000110717	126
ENSG00000110719	126
ENSG00000110756	74
ENSG00000110768	74
ENSG00000110931	163
ENSG00000111011	163
ENSG00000111142	596
ENSG00000111203	195
ENSG00000111206	158
ENSG00000111229	163
ENSG00000111231	163
ENSG00000111237	163
ENSG00000111300	163
ENSG00000111321	312
ENSG00000111331	197
ENSG00000111335	197
ENSG00000111361	163
ENSG00000111364	163
ENSG00000111445	163
ENSG00000111540	332
ENSG00000111639	312
ENSG00000111652	312
ENSG00000111664	198
ENSG00000111665	158
ENSG00000111667	312
ENSG00000111669	312
ENSG00000111671	149
ENSG00000111678	312
ENSG00000111679	312
ENSG00000111684	161
ENSG00000111707	163
ENSG00000111737	163
ENSG00000111785	199
ENSG00000111786	163
ENSG00000111790	147
ENSG00000111801	121
ENSG00000111832	28
ENSG00000111845	251
ENSG00000111875	28
ENSG00000111877	28
ENSG00000111907	201
ENSG00000111911	28
ENSG00000112033	205
ENSG00000112039	205
ENSG00000112078	205
ENSG00000112110	28
ENSG00000112146	202
ENSG00000112159	28
ENSG00000112167	205
ENSG00000112200	61
ENSG00000112210	203
ENSG00000112234	12
ENSG00000112237	28
ENSG00000112249	28
ENSG00000112282	28
ENSG00000112304	204
ENSG00000112306	146
ENSG00000112335	28
ENSG00000112365	28
ENSG00000112367	28
ENSG00000112379	28
ENSG00000112578	205
ENSG00000112584	28
ENSG00000112592	28
ENSG00000112624	205
ENSG00000112640	205
ENSG00000112651	205
ENSG00000112659	205
ENSG00000112695	28
ENSG00000112697	28
ENSG00000112701	28
ENSG00000112742	158
ENSG00000112769	206
ENSG00000112796	207
ENSG00000112851	281
ENSG00000112941	418
ENSG00000112983	208
ENSG00000112984	158
ENSG00000113013	281
ENSG00000113048	281
ENSG00000113068	281
ENSG00000113141	281
ENSG00000113163	209
ENSG00000113194	281
ENSG00000113211	210
ENSG00000113212	210
ENSG00000113240	281
ENSG00000113282	281
ENSG00000113312	281
ENSG00000113360	418
ENSG00000113368	158
ENSG00000113384	418
ENSG00000113456	418
ENSG00000113460	418
ENSG00000113569	418
ENSG00000113575	281
