ID	symbol	community_type
GO:0006414	PPP2R5D	*
GO:0032543	PPP2R5D	*
GO:0140053	PPP2R5D	*
GO:0070125	PPP2R5D	*
GO:0070126	PPP2R5D	*
GO:0140014	NUSAP1	-
GO:0000280	NUSAP1	-
GO:0007059	NUSAP1	-
GO:0048285	NUSAP1	-
GO:0000070	NUSAP1	-
GO:0000819	NUSAP1	-
GO:0098813	NUSAP1	-
GO:1902850	NUSAP1	-
GO:0051983	NUSAP1	-
GO:0007051	NUSAP1	-
GO:0007088	NUSAP1	-
GO:0000226	NUSAP1	-
GO:0007052	NUSAP1	-
GO:0051783	NUSAP1	-
GO:0008608	NUSAP1	-
GO:0051303	NUSAP1	-
GO:0050000	NUSAP1	-
GO:0010965	NUSAP1	-
GO:0033045	NUSAP1	-
GO:0051310	NUSAP1	-
GO:0051306	NUSAP1	-
GO:1905818	NUSAP1	-
GO:0051304	NUSAP1	-
GO:0033047	NUSAP1	-
GO:0030071	NUSAP1	-
GO:1901987	NUSAP1	-
GO:1902099	NUSAP1	-
GO:0051225	NUSAP1	-
GO:0007091	NUSAP1	-
GO:0044784	NUSAP1	-
GO:0090307	NUSAP1	-
GO:1901990	NUSAP1	-
GO:0033046	NUSAP1	-
GO:0051985	NUSAP1	-
GO:1903046	NUSAP1	-
GO:0051321	NUSAP1	-
GO:1905819	NUSAP1	-
GO:2000816	NUSAP1	-
GO:0033048	NUSAP1	-
GO:0010948	NUSAP1	-
GO:0140013	NUSAP1	-
GO:0051656	NUSAP1	-
GO:0007080	NUSAP1	-
GO:0045839	NUSAP1	-
GO:0090068	NUSAP1	-
GO:0051784	NUSAP1	-
GO:0033044	NUSAP1	-
GO:0007094	NUSAP1	-
GO:0031577	NUSAP1	-
GO:0071173	NUSAP1	-
GO:0071174	NUSAP1	-
GO:0045841	NUSAP1	-
GO:1902100	NUSAP1	-
GO:0006323	NUSAP1	-
GO:0045132	NUSAP1	-
GO:0000281	NUSAP1	-
GO:0044839	NUSAP1	-
GO:0071103	NUSAP1	-
GO:0007093	NUSAP1	-
GO:0045787	NUSAP1	-
GO:2001251	NUSAP1	-
GO:0000086	NUSAP1	-
GO:0061640	NUSAP1	-
GO:0000910	NUSAP1	-
GO:0007018	NUSAP1	-
GO:0000075	NUSAP1	-
GO:0051383	NUSAP1	-
GO:1901991	NUSAP1	-
GO:0051653	NUSAP1	-
GO:0034508	NUSAP1	-
GO:1901988	NUSAP1	-
GO:0045930	NUSAP1	-
GO:1901989	NUSAP1	-
GO:0006890	NUSAP1	-
GO:0007062	NUSAP1	-
GO:0045931	NUSAP1	-
GO:0051988	NUSAP1	-
GO:0019886	NUSAP1	-
GO:0002495	NUSAP1	-
GO:0051315	NUSAP1	-
GO:0002504	NUSAP1	-
GO:0030261	NUSAP1	-
GO:1902749	NUSAP1	-
GO:0040001	NUSAP1	-
GO:0007076	NUSAP1	-
GO:1901992	NUSAP1	-
GO:0051293	NUSAP1	-
GO:0045840	NUSAP1	-
GO:0031145	NUSAP1	-
GO:0034502	NUSAP1	-
GO:0010389	NUSAP1	-
GO:0065004	NUSAP1	-
GO:0071459	NUSAP1	-
GO:0051302	NUSAP1	-
GO:0051785	NUSAP1	-
GO:0010639	NUSAP1	-
GO:0000079	NUSAP1	-
GO:1904029	NUSAP1	-
GO:0071824	NUSAP1	-
GO:0002478	NUSAP1	-
GO:0007276	NUSAP1	-
GO:0019884	NUSAP1	-
GO:1904668	NUSAP1	-
GO:0044843	NUSAP1	-
GO:0034080	NUSAP1	-
GO:0061641	NUSAP1	-
GO:0048002	NUSAP1	-
GO:0032465	NUSAP1	-
GO:0007077	NUSAP1	-
GO:0031055	NUSAP1	-
GO:0051445	NUSAP1	-
GO:0006334	NUSAP1	-
GO:0006336	NUSAP1	-
GO:0030397	NUSAP1	-
GO:0051081	NUSAP1	-
GO:0051382	NUSAP1	-
GO:0034724	NUSAP1	-
GO:0043486	NUSAP1	-
GO:0019882	NUSAP1	-
GO:0061982	NUSAP1	-
GO:0034501	NUSAP1	-
GO:0007292	NUSAP1	-
GO:0031497	NUSAP1	-
GO:0022412	NUSAP1	-
GO:0051307	NUSAP1	-
GO:1904666	NUSAP1	-
GO:0007064	NUSAP1	-
GO:0007143	NUSAP1	-
GO:0034728	NUSAP1	-
GO:0007098	NUSAP1	-
GO:0051984	NUSAP1	-
GO:0000132	NUSAP1	-
GO:0006333	NUSAP1	-
GO:0072395	NUSAP1	-
GO:0072401	NUSAP1	-
